구분	프로젝트	파일	라인	멤버	호출_문맥	캡처_변수	실행_스레드	호출_시점	예외_전달	위험도	변경_방법
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	631	Drilling.Common.Interface.CAutomation1Comm.WaitForBufferedRunTasksComplete(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<Drilling.Common.Interface.CAutomation1Comm.CBufferedRunQueue>, int, System.Threading.CancellationToken)	states.FirstOrDefault	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	638	Drilling.Common.Interface.CAutomation1Comm.WaitForBufferedRunTasksComplete(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<Drilling.Common.Interface.CAutomation1Comm.CBufferedRunQueue>, int, System.Threading.CancellationToken)	states.All	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	686	Drilling.Common.Interface.CAutomation1Comm.FormatBufferedRunTaskStates(System.Collections.Generic.IReadOnlyList<Drilling.Common.Interface.CAutomation1Comm.CBufferedRunTaskState>)	states.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	695	Drilling.Common.Interface.CAutomation1Comm.StopBufferedRunTasks(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IEnumerable<Drilling.Common.Interface.CAutomation1Comm.CBufferedRunRequest>, System.Collections.Generic.ICollection<System.Exception>)	requests.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	749	Drilling.Common.Interface.CAutomation1Comm.AddCleanupExceptions(System.Exception, System.Collections.Generic.IReadOnlyCollection<System.Exception>)	cleanupExceptions.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	801	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	802	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	807	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	808	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	813	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	814	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	819	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	820	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	827	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	828	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	838	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
Lambda	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	839	Drilling.Common.Interface.CAutomation1Comm.ExecuteAxisFunction(Aerotech.Automation1.DotNet.Controller, System.Collections.Generic.IReadOnlyList<string>)	ExecuteAxis	controller	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	이름 있는 메서드 또는 명시적 반복문
ExpressionBody	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	1172	Drilling.Common.Interface.CAutomation1Comm.CAutoAxis.CommandText.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Interface/Automation1/CAutomation1Comm.cs	1195	Drilling.Common.Interface.CAutomation1Comm.CBufferedRunTaskState.HasQueueEmptiedAfterStart.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Interface/CComm.cs	17	Drilling.Common.Interface.CCommTypeAttribute.DeviceNames.field	deviceNames          .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CComm.cs	77	Drilling.Common.Interface.CComm.Create(Drilling.Common.Interface.ST_INTERFACE_DATA, Drilling.Common.Interface.ST_INTERFACE_CONNECT_OPTION)	CommTypes              .Where	interfaceType,deviceName	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CComm.cs	78	Drilling.Common.Interface.CComm.Create(Drilling.Common.Interface.ST_INTERFACE_DATA, Drilling.Common.Interface.ST_INTERFACE_CONNECT_OPTION)	CommTypes              .Where(item => item.IsMatch(interfaceType, deviceName))              .OrderByDescending	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CComm.cs	95	Drilling.Common.Interface.CComm.LoadCommTypes()	typeof(CCommBase)              .Assembly              .GetTypes()              .Where	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CComm.cs	96	Drilling.Common.Interface.CComm.LoadCommTypes()	typeof(CCommBase)              .Assembly              .GetTypes()              .Where(type => !type.IsAbstract && typeof(CCommBase).IsAssignableFrom(type))              .SelectMany	type	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CComm.cs	97	lambda expression	type.GetCustomAttributes<CCommTypeAttribute>()                  .Select	type	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CComm.cs	126	Drilling.Common.Interface.CCommBase.Endpoint.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	93	Drilling.Common.Interface.ST_INTERFACE_COMM_STATUS.InstanceKey.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	115	Drilling.Common.Interface.ST_INTERFACE_DATA.InstanceKey.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	436	Drilling.Common.Interface.CInterfaceManager.IsSimulation.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	438	Drilling.Common.Interface.CInterfaceManager.IsSimulation.get	_devices.Values.All	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	440	Drilling.Common.Interface.CInterfaceManager.Devices.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	442	Drilling.Common.Interface.CInterfaceManager.Melsec.get	PropertyDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	675	Drilling.Common.Interface.CInterfaceManager.GetInterfaceList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where	module	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	676	Drilling.Common.Interface.CInterfaceManager.GetInterfaceList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	677	Drilling.Common.Interface.CInterfaceManager.GetInterfaceList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select(device => device.Data)              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	678	Drilling.Common.Interface.CInterfaceManager.GetInterfaceList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select(device => device.Data)              .OrderBy(data => data.Device)              .ThenBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	679	Drilling.Common.Interface.CInterfaceManager.GetInterfaceList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select(device => device.Data)              .OrderBy(data => data.Device)              .ThenBy(data => data.Number)              .ThenBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	686	Drilling.Common.Interface.CInterfaceManager.GetInterfaceCommunicationList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where	module	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	687	Drilling.Common.Interface.CInterfaceManager.GetInterfaceCommunicationList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	688	Drilling.Common.Interface.CInterfaceManager.GetInterfaceCommunicationList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select(device => device.GetCommunicationStatus())              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	689	Drilling.Common.Interface.CInterfaceManager.GetInterfaceCommunicationList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select(device => device.GetCommunicationStatus())              .OrderBy(status => status.Module)              .ThenBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	690	Drilling.Common.Interface.CInterfaceManager.GetInterfaceCommunicationList(Drilling.Common.Interface.EN_EQP_MODULE?)	_devices.Values              .Where(device => module is null || device.Data.Device == module)              .Select(device => device.GetCommunicationStatus())              .OrderBy(status => status.Module)              .ThenBy(status => status.Number)              .ThenBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	715	Drilling.Common.Interface.CInterfaceManager.GetCommunicationStatus(System.Threading.CancellationToken)	_devices.Values              .GroupBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	716	Drilling.Common.Interface.CInterfaceManager.GetCommunicationStatus(System.Threading.CancellationToken)	_devices.Values              .GroupBy(device => device.Data.Device)              .Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	718	lambda expression	group.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	719	Drilling.Common.Interface.CInterfaceManager.GetCommunicationStatus(System.Threading.CancellationToken)	_devices.Values              .GroupBy(device => device.Data.Device)              .Select(group => new ST_DEVICE_COMM_STATUS(                  group.Key,                  CollapseConnectionState(group.Select(device => device.ConnectionState))))              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	729	Drilling.Common.Interface.CInterfaceManager.CollapseConnectionState(System.Collections.Generic.IEnumerable<Drilling.Common.Interface.EN_COMM_STATE>)	stateArray.Any	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	734	Drilling.Common.Interface.CInterfaceManager.CollapseConnectionState(System.Collections.Generic.IEnumerable<Drilling.Common.Interface.EN_COMM_STATE>)	stateArray.All	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	805	Drilling.Common.Interface.CInterfaceManager.TryGetDeviceByNickName(string, out Drilling.Common.Interface.CInterfaceDevice?, bool)	_devices.Values              .Where	normalized	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	816	Drilling.Common.Interface.CInterfaceManager.TryGetDeviceByNickName(string, out Drilling.Common.Interface.CInterfaceDevice?, bool)	matches.Select	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
SwitchExpression	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	985	Drilling.Common.Interface.CInterfaceManager.FormatConnectionState(Drilling.Common.Interface.EN_COMM_STATE)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
SwitchExpression	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	1258	Drilling.Common.Interface.CInterfaceManager.FormatChillerRunState(Drilling.Common.Interface.EN_CHILLER_RUN_STATE)	ReturnStatement	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	중간	일반 switch 문과 명시적 return/대입
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	1611	Drilling.Common.Interface.CInterfaceManager.ExecuteBETCommand(int, Drilling.Common.Interface.EN_BET_COMMAND, double, double, System.Threading.CancellationToken)	table.FirstOrDefault	index	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	1949	Drilling.Common.Interface.CInterfaceManager.GetPicoMotorStatus(System.Threading.CancellationToken)	GetInterfaceList(EN_EQP_MODULE.PicoMotor)              .OrderBy	-	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	낮음	이름 있는 조건/선택 메서드 또는 for/foreach
Lambda	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	1969	Drilling.Common.Interface.CInterfaceManager.GetPicoMotorStatus(int, System.Threading.CancellationToken)	GetInterfaceList(EN_EQP_MODULE.PicoMotor)              .FirstOrDefault	number	열거를 수행하는 호출자 스레드	기존 LINQ 열거 시점	기존 열거 시 호출자에게 전달	중간	이름 있는 조건/선택 메서드 또는 for/foreach
ExpressionBody	Drilling.Common	Drilling.Common/Interface/CInterfaceManager.cs	1999	Drilling.Common.Interface.CInterfaceManager.RefreshPicoMotorStatus(System.Threading.CancellationToken)	MethodDeclaration	-	호출자 스레드	기존 식 평가 시점	기존 호출자에게 직접 전달	낮음	블록 본문과 명시적 return/get/set
